citation_key,Year,First author,Title,Source folder,Role,Metric(s) used,Reproducibility %,Tier
2019_Klopries,2019,Klopries,Mortality assessment for adult European eels (Anguilla Anguilla) during turbine passage using CFD modelling,Numerical,Modeling (CFD),RPC; nadir pressure; mortal-injury index; dose-response model,n/a,
2019_Martinezc,2019,Martinez,In situ characterization of turbine hydraulic environment to support development of fish-friendly hydropower,Field,Field exposure (Sensor Fish),RPC; nadir pressure; mortal-injury index; dose-response model,n/a,
2019_Meng,2019,Meng,Experimental evaluation of the effect of decompression on crucian carps injury during turbine passage,Lab,Live-fish LAB,nadir pressure,30,Low
2019_Pflugrath,2019,Pflugrath,American eel state of buoyancy and barotrauma susceptibility,Lab,Live-fish LAB,RPC; nadir pressure; mortal-injury index,80,High
2019_Pflugrathb,2019,Pflugrath,Over or under Autonomous sensor fish reveals why overshot weirs may be safer than undershot weirs for fish passage,Field,Field exposure (Sensor Fish),RPC; nadir pressure; mortal-injury index; dose-response model,n/a,
2019_Serkowski,2019,Serkowski,Nadir Pressure Exposure Estimates at the McNeary Dam,Numerical,Modeling (CFD),nadir pressure; dose-response model,n/a,
2020_Doyle,2020,Doyle,"Gambusia holbrooki Survive Shear Stress, Pressurization and Avoid Blade Strike in a Simulated Pumped Hydroelectric Scheme",Lab,Live-fish LAB,mortal-injury index,60,Medium
2020_Mueller,2020,Mueller,Assessing turbine passage effects on internal fish injury and delayed mortality using X-ray imaging,Field,Live-fish FIELD,,62,Medium
2020_Pauwels,2020,Pauwels,"Multi-Species Assessment of Injury, Mortality, and Physical Conditions during Downstream Passage through a Large",Field,Live-fish FIELD,RPC; nadir pressure,88,High
2020_Pflugrath,2020,Pflugrath,The Susceptibility of Juvenile American Shad to rapid decompression and fluid shear exposure,Lab,Live-fish LAB,RPC; LRP; nadir pressure; mortal-injury index,100,High
2020_Pflugrathb,2020,Pflugrath,Using transparent fish to observe barotrauma associated with downstream passage through hydropower turbines,Lab,Live-fish LAB,RPC; nadir pressure; mortal-injury index,80,High
2020_Pflugrathc,2020,Pflugrath,Biological Response Models,Numerical,Modeling/synthesis,RPC; LRP; nadir pressure; mortal-injury index; dose-response model,n/a,
2020_Reckendorfer,2020,Reckendorfer,Druckverhältnisse in großen Kaplan-Turbinen,Field,Field exposure (pressure),nadir pressure; mortal-injury index,n/a,
2022_Doyle,2022,Doyle,Survival estimates across five life stages of redfin (Perca fluviatilis) exposed to simulated pumped-storage hydropower,Lab,Live-fish LAB,mortal-injury index,60,Medium
2022_Mueller,2022,Mueller,Experimental comparison of fish mortality and injuries at innovative and conventional small hydropower plants,Field,Live-fish FIELD,RPC,88,High
2022_Romero-Gomezc,2022,Romero-Gomez,The bio-hill chart of a Kaplan turbine,Numerical,Modeling (CFD),nadir pressure; mortal-injury index,n/a,
2023_Cox,2023,Cox,Fish Injury from Movements across Hydraulic Structures,Review,Review,RPC,n/a,
2023_Kerrb,2023,Kerr,The effects of simulated hydropower turbine rapid decompression on two Neotropical fish species,Lab,Live-fish LAB,RPC; nadir pressure; mortal-injury index,90,High
2023_Pedron,2023,Pedron,Fish injuries resulting from transient operating conditions in a Brazilian hydropower plant,Field,Live-fish FIELD,mortal-injury index,38,Low
2024_Canada,2024,Canada,Risk to fish from very low head turbine installations,Guidelines,Guideline,RPC; nadir pressure; mortal-injury index; dose-response model,n/a,
2025_Huang,2025,Huang,Velocity- and pressure-based metrics for estimating strike injuries during fish passage through hydro turbines,Numerical,Modeling (metrics),nadir pressure; mortal-injury index; dose-response model; neutral-buoyancy/acclimation depth,n/a,
2025_Martinez,2025,Martinez,A scientific framework for sustainable hydropower with improved fish passage,Review,Review,LRP; nadir pressure; mortal-injury index; neutral-buoyancy/acclimation depth,n/a,
2025_Schneider,2025,Schneider,A barotrauma chamber for the systematic assessment of barotrauma-related injuries in potamodromous European fish,Lab,Live-fish LAB,nadir pressure,70,Medium
2025_Zitek,2025,Zitek,Untersuchung von druckänderungsbedingten,Lab,Live-fish LAB,nadir pressure; mortal-injury index,70,Medium
2026_Zitek,2026,Zitek,Sensitivity of larval and juvenile fish with different swim bladder morphology to barotrauma with a special focus on,Lab,Live-fish LAB,RPC; LRP; nadir pressure; mortal-injury index,100,High
1965_Foye,1965,Foye,Effectsof pressure on survivalofsix species offish,Lab,Live-fish LAB,survival vs applied pressure (psi),70,Medium
1988_Davies,1988,Davies,A review of information relating to fish passage through turbines: Implications to tidal power schemes. Journa,Review,Review,turbine-passage injury mechanisms (incl. pressure),,
1997_Cada,1997,Cada,"Shaken, not stirred: the recipe for a fish-friendly turbine",Review,Review/criteria,biological design criteria (pressure),,
2001_Perry,2001,Perry,Buoyancy compensation of juvenile Chinook salmon implanted with two different size dummy transmitters. Transac,Lab,Lab (buoyancy/physiology),depth/buoyancy compensation,,
2023_Koukouvinis,2023,Koukouvinis,State of the Art in Designing Fish-Friendly Turbines - Concepts and Performance Indicators,Review,Review,fish-friendly turbine design (pressure),,
