citation_key,Year,First author,Title,Type,C1 Species+stage+size,C2 Sample size (n),C3 Acclim. pressure/depth,C4 Acclim. duration,C5 Exposure/nadir quantified,C6 Pressure-change metric defined,C7 Injury scoring protocol,C8 Holding/recovery & delayed,C9 Controls,C10 Stats/dose-response,Reproducibility %,Tier,Metric(s),Pressures reported (kPa)
2007_Brown,2007,Brown,Assessment of Barotrauma Resulting from Rapid Decompression of Depth Acclimated Juvenile Chinook Salmon Bearing Radio,LAB,Y,—,Y,—,Y,—,Y,Y,Y,Y,70,Medium,nadir pressure,"7, 10, 070, 101, 131, 161, 221, 400"
2009_Brown,2009,Brown,Assessment of barotrauma from rapid decompression of depth-acclimated juvenile chinook salmon bearing radtiotelemetry,LAB,Y,—,Y,—,Y,—,Y,Y,Y,Y,70,Medium,nadir pressure,"1.8, 2, 2.62, 7, 9.0, 19, 19.17, 19.7"
2025_Schneider,2025,Schneider,A barotrauma chamber for the systematic assessment of barotrauma-related injuries in potamodromous European fish,LAB,Y,—,Y,—,Y,—,Y,Y,Y,Y,70,Medium,nadir pressure,"2, 2.3, 7, 9, 10, 14, 15, 16"
2025_Zitek,2025,Zitek,Untersuchung von druckänderungsbedingten,LAB,Y,Y,Y,—,Y,—,Y,Y,—,Y,70,Medium,nadir pressure; mortal-injury index,"10, 15, 19, 25, 29, 30, 40, 44"
2000_Abernethy,2000,Abernethy,Laboratory Studies of the Effects of pressure and dissolved gases on fish,LAB,Y,—,Y,Y,Y,—,Y,Y,Y,—,70,Medium,nadir pressure,"0, 2, 7, 9.799, 10, 50, 56, 60"
2003_Abernethy,2003,Abernethy,Fish Passage Through a Simulated Bulb Turbine Pressure Regime,LAB,Y,—,Y,Y,Y,—,Y,Y,Y,—,70,Medium,nadir pressure,"3, 10, 40, 50, 57, 70, 75, 76"
2003_Becker,2003,Becker,Idendifying the effects on fish of changes in water pressure during turbine passage,LAB,—,Y,Y,Y,Y,—,Y,Y,Y,—,70,Medium,nadir pressure,"2, 3.5, 10, 30, 50, 57, 68, 95"
2002_Abernathy,2002,Abernathy,Simulated passage through a modified Kaplan turbine pressure regime,LAB,Y,—,Y,—,Y,—,Y,Y,Y,—,60,Medium,nadir pressure,"3, 10, 50, 55, 70, 101, 191, 400"
2020_Doyle,2020,Doyle,"Gambusia holbrooki Survive Shear Stress, Pressurization and Avoid Blade Strike in a Simulated Pumped Hydroelectric Scheme",LAB,Y,Y,—,—,Y,—,—,Y,Y,Y,60,Medium,mortal-injury index,"000, 070, 100, 200, 600"
2022_Doyle,2022,Doyle,Survival estimates across five life stages of redfin (Perca fluviatilis) exposed to simulated pumped-storage hydropower,LAB,Y,Y,—,—,Y,—,—,Y,Y,Y,60,Medium,mortal-injury index,"10, 1100, 1277, 5000, 6000, 7000, 7600"
2012_Pflugrath,2012,Pflugrath,Maximum Neutral Buoyancy Depth of Juvenile Chinook Salmon Implications for Survival during Hydroturbine Passage,LAB,Y,Y,Y,—,Y,—,—,Y,—,—,50,Medium,mortal-injury index,"9.80, 20.7"
2007_McKinstry,2007,McKinstry,Derivation of a Mortal Injury Metric for Studies of Rapid Decompression of Depth-Acclimated Physostomous Fish,LAB,—,—,Y,—,Y,—,Y,Y,—,Y,50,Medium,nadir pressure; mortal-injury index,
2019_Meng,2019,Meng,Experimental evaluation of the effect of decompression on crucian carps injury during turbine passage,LAB,—,—,—,—,Y,—,—,Y,Y,—,30,Low,nadir pressure,
1983_Feathers,1983,Feathers,Effects of Depressurization Upon Largemouth Bass,LAB,Y,—,Y,—,—,—,—,Y,—,—,30,Low,,
