citation_key,year,first_author,title,role,metric,reproducibility_pct,reproducibility_tier
2022_Pan,2022,Pan,"Analysis, Design, and Validation of a Vaned Diffuser for Improved Fish Friendliness",Modeling (CFD design),strike probability; strike velocity; leading-edge geometry; blade-strike model; mutilation rate,,
2022_Watsonb,2022,Watson,Safe passage of American Eels through a novel hydropower turbine,live-fish field,strike probability; blade/leading-edge geometry (L/t),80,High
2022_Watson,2022,Watson,Juvenile Alewife Passage through a Compact Hydropower Turbine,live-fish field,strike velocity; blade/leading-edge geometry (L/t),70,Medium
2022_Yang,2022,Yang,Effects of operating condition on fish behavior and fish injury in an axial pump,Modeling (CFD collision),particle/DEM collision model; strike velocity; leading-edge geometry; blade-strike model; mutilation rate,,
2023_Cox,2023,Cox,Fish Injury from Movements across Hydraulic Structures,Review (collision/injury),collision/strike (described),,
2023_Knott,2023,Knott,Ecological assessment of the world's first shaft hydropower plant,live-fish field,survival/injury rate,80,High
2023_Pedron,2023,Pedron,Fish injuries resulting from transient operating conditions in a Brazilian hydropower plant,live-fish field,survival/injury rate,70,Medium
2024_Canada,2024,Canada,Risk to fish from very low head turbine installations,Guideline,strike velocity,,
2025_Huang,2025,Huang,Velocity- and pressure-based metrics for estimating strike injuries during fish passage through hydro turbines,Modeling (strike metrics),blade-strike model,,
2025_Zillig,2025,Zillig,Comparison of juvenile white sturgeon blade strike survival through a conventional and a novel hydropower turbine,live-fish field,strike probability; blade/leading-edge geometry (L/t),90,High
2026_Pan,2026,Pan,A novel fish-friendly-twisted blade towards low-head pumped hydro storage assessment of flow distortion-induced,Modeling (CFD design),strike probability; particle/DEM collision model; strike velocity; leading-edge geometry; blade-strike model; mutilation rate,,
