citation_key,year,first_author,title,mechanisms,study_environment,location_during_passage,outcome_timing,delayed_window_h,confidence,notes
2011_EPRI,2011,EPRI,Evaluation of Fish Injury and Mortality Associated with Hydrokinetic Turbines,collision,Review / synthesis,Various / not applicable,Immediate; Sublethal; Indirect,,Mined,
2012_Brown,2012,Brown,Pathways of barotrauma in juvenile salmonids exposed to simulated hydroturbine passage Boyle's law vs. Henry's law,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal; Indirect,24,Mined,
2012_Brownb,2012,Brown,Quantifying Mortal Injury of Juvenile Chinook Salmon Exposed to Simulated Hydro-Turbine Passage,barotrauma,Lab - other apparatus,In lab apparatus (other),Immediate; Delayed; Sublethal; Indirect,24,Mined,
2012_Carlson,2012,Carlson,Barotrauma in Fish and Barotrauma Metrics,barotrauma,Review / synthesis,Various / not applicable,Immediate; Delayed; Sublethal,,Mined,
2012_Carlsonb,2012,Carlson,The Influence of Tag Presence on the Mortality of Juvenile Chinook Salmon Exposed to Simulated Hydroturbine Passage,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal; Indirect,,Mined,
2012_Colotelo,2012,Colotelo,The effect of rapid and sustained decompression on barotrauma in juvenile brook lamprey and Pacific lamprey,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal,120,Mined,
2012_Jacobsen,2012,Jacobsen,Environmental effects of hydrokinetic turbines on fish desktop and laboratory flume studies,shear,Lab - blade-strike rig,At strike plate / blade (rig),Immediate; Delayed; Sublethal; Indirect,,Mined,
2012_Normandeau,2012,Normandeau,Estimation of survival of adult American shad passed through Francis and Kaplan turbines,barotrauma; collision,Field - Kaplan turbine,Whole-route (not localised),Immediate; Delayed; Sublethal,48,Mined,
2012_Pflugrath,2012,Pflugrath,Maximum Neutral Buoyancy Depth of Juvenile Chinook Salmon Implications for Survival during Hydroturbine Passage,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal,24,Mined,
2012_vanEsch,2012,vanEsch,Fish injury and mortality during passage through pumping stations,collision,Numerical / CFD model,Turbine runner; Bypass / sluice / gate; Archimedean screw flight,Delayed; Sublethal; Indirect,,Mined,
2013_Chamorrow,2013,Chamorrow,Three-dimensional flow visualization in the wake of a miniature axial-flow hydrokinetic turbin,shear,Lab - other apparatus,In lab apparatus (other),Immediate,,Mined,
2013_Richmond,2013,Richmond,Simulating Collisions for Hydrokinetic Turbines,collision,Numerical / CFD model,Turbine runner,Sublethal; Indirect,,Mined,
2014_Boys,2014,Boys,Downstream fish passage criteria for hydropower and irrigation infrastructure in the Murray–Darling Basin,barotrauma; shear,Guideline / standard,Various / not applicable,Immediate; Latent / long-term,,Mined,
2014_Brown,2014,Brown,Understanding Barotrauma in Fish Passing Hydro,barotrauma,Review / synthesis,Various / not applicable,Delayed; Sublethal; Latent / long-term,120,Mined,
2014_Richmondb,2014,Richmond,Fish passage through hydropower turbines Simulating blade strike using the discrete element method,collision,Physical model / test rig,Modelled flow path,Not reported,,Mined,
2014_Richmondc,2014,Richmond,Quantifying barotrauma risk to juvenile fish during hydro-turbine passage,barotrauma,Numerical / CFD model,Turbine runner; Spillway; Bypass / sluice / gate,Immediate; Delayed; Indirect,,Mined,
2014_Romero-Gomez,2014,Romero-Gomez,Simulating blade-strike on fish passing through marine hydrokinetic turbines,collision,Numerical / CFD model,Turbine runner,Sublethal; Indirect,,Mined,
2014_Trumbo,2014,Trumbo,Improving hydroturbine pressures to enhance salmon passage survival and recovery,barotrauma,Review / synthesis,Various / not applicable,Delayed; Sublethal; Indirect,24,Mined,
2014_vanEsch,2014,vanEsch,Validation of a model to predict fish passage mortality in pumping stations,collision,Numerical / CFD model,Turbine runner; Pump impeller / casing,Immediate; Delayed; Sublethal,96,Mined,
2015_Beirao,2015,Beirao,Avaliação e desenvolvimento de método para estudo de barotrauma em peixes em turbinas de usinas hidrelétricas,barotrauma,Review / synthesis,Various / not applicable,Not reported,,Mined,
2015_Richmond,2015,Richmond,Comparative Study of Barotrauma Risk during Fish Passage through Kaplan Turbines,barotrauma,Numerical / CFD model,Turbine runner,Delayed; Indirect,,Mined,
2015_Xiao,2015,Xiao,Movement characteristics offish in a jetfish pump,shear,Numerical / CFD model,Turbine runner; Pump impeller / casing,Sublethal,,Mined,
2016_Boys,2016,Boys,A piecewise regression approach for determining biologically relevant hydraulic thresholds for the protection of fishes,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed,24,Mined,
2016_Boysb,2016,Boys,How low can they go with the flow,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed,72,Mined,
2016_Brown,2016,Brown,A preliminary assessment of barotrauma injuries and acclimation studies for three fish species,barotrauma,Physical model / test rig,Modelled flow path,Immediate; Delayed; Sublethal,24,Mined,
2016_Fu,2016,Fu,Assessing hydraulic conditions through Francis turbines using an autonomous sensor device,shear,Field - Kaplan turbine,Whole-route (not localised),Immediate; Sublethal; Indirect,,Mined,
2016_Long,2016,Long,Impact of the internal flow in a jet fish pump on the fish,shear,Numerical / CFD model,Turbine runner; Pump impeller / casing,Delayed; Sublethal,24,Mined,
2017_Bevelheimer,2017,Bevelheimer,An overview of experimental efforts to understand the mechanisms of fish injury and mortality caused by,collision,Review / synthesis,Various / not applicable,Immediate; Delayed; Sublethal,,Mined,
2017_Crew,2017,Crew,Literature Review - Fish mortality risks and international regulations associated with downstream passage through,barotrauma,Review / synthesis,Various / not applicable,Immediate; Delayed; Sublethal; Latent / long-term; Indirect,,Mined,
2018_Amaral,2018,Amaral,Survival of fish passing downstream at a small hydropower facility,collision,Field - spillway / bypass,Spillway,Immediate; Sublethal,,Mined,
2018_Beirao,2018,Beirao,"Determining barotrauma in the Pictus catfus, Pimelodus pictus experimentally exposed to simulated hydropower turbine",barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal,72,Mined,
2018_Boys,2018,Boys,Physical and hydraulic forces experienced by fish passing through three different low-head hydropower turbines,barotrauma; shear,Field - Kaplan turbine,Bypass / sluice / gate,Immediate; Sublethal,,Mined,
2018_Brackley,2018,Brackley,Comparison of damage to live v. euthanized Atlantic salmon Salmo salar smolts from passage through an Archimedean,collision,Field - Archimedean screw,Archimedean screw flight,Immediate; Sublethal,,Mined,
2018_Colotelo,2018,Colotelo,Injury and mortality of two Mekong River species exposed to turbulent shear forces,shear,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal; Latent / long-term; Indirect,48,Mined,
2018_Geist,2018,Geist,Juvenile Chinook Salmon Survival When Exposed to Simulated Dam Passage after Being Implanted with a New Microacoustic,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal; Indirect,48,Mined,
2018_Hou,2018,Hou,A Hydropower Biological Evaluation Toolset (HBET) for Characterizing Hydraulic Conditions and Impacts of,barotrauma; shear,Numerical / CFD model,Spillway; Bypass / sluice / gate,Not reported,,Mined,
2018_Normandeau,2018,Normandeau,"Biological Fish Injury and Survival Evaluation at the Regulating Outlet of Cougar Dam, Oregon",barotrauma; collision,Field - spillway / bypass,Spillway; Plunge pool / stilling basin,Immediate; Delayed; Sublethal,48,Mined,
2018_Pflugrath,2018,Pflugrath,Predicting hydraulic structure-induced barotrauma in Australian fish species,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal; Latent / long-term,24,Mined,
2018_Silva,2018,Silva,It’s a catfish Novel approaches are needed to study the effects of rapid decompression on benthic species,barotrauma,Review / synthesis,Various / not applicable,Delayed; Sublethal,72,Mined,
2019_Bevelheimer,2019,Bevelheimer,Mortality and Injury Assessment for Three Species of Fish Exposed to Simulated Turbine Blade Strike,collision,Lab - blade-strike rig,At strike plate / blade (rig),Immediate; Delayed; Sublethal,48,Mined,
2019_Klopries,2019,Klopries,Mortality assessment for adult European eels (Anguilla Anguilla) during turbine passage using CFD modelling,barotrauma; shear,Numerical / CFD model,Turbine runner,Sublethal; Latent / long-term,,Mined,
2019_Martinezc,2019,Martinez,In situ characterization of turbine hydraulic environment to support development of fish-friendly hydropower,barotrauma; shear,Field - Francis turbine,Whole-route (not localised),Immediate; Delayed; Sublethal; Indirect,48,Mined,
2019_Meng,2019,Meng,Experimental evaluation of the effect of decompression on crucian carps injury during turbine passage,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal,48,Mined,
2019_Pflugrath,2019,Pflugrath,American eel state of buoyancy and barotrauma susceptibility,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal,48,Mined,
2019_Pflugrathb,2019,Pflugrath,Over or under Autonomous sensor fish reveals why overshot weirs may be safer than undershot weirs for fish passage,barotrauma,Field - weir,Bypass / sluice / gate,Immediate; Sublethal; Indirect,,Mined,
2019_Romero-Gomez,2019,Romero-Gomez,Particle-based evaluations of fish-friendliness in Kaplan turbine,collision,Numerical / CFD model,Turbine runner,Not reported,,Mined,
2019_Saylor,2019,Saylor,Quantifying mortality and injury susceptibility for two morphologically disparate fishes exposed to simulated turbine,collision,Lab - blade-strike rig,At strike plate / blade (rig),Immediate; Delayed; Sublethal,24,Mined,
2019_Serkowski,2019,Serkowski,Nadir Pressure Exposure Estimates at the McNeary Dam,barotrauma,Physical model / test rig,Modelled flow path,Indirect,,Mined,
2020_Amaral,2020,Amaral,Improving survival injury and mortality of fish struck by blades with slanted blunt leading edges,collision,Lab - blade-strike rig,At strike plate / blade (rig),Immediate; Delayed; Sublethal,,Mined,
2020_Doyle,2020,Doyle,"Gambusia holbrooki Survive Shear Stress, Pressurization and Avoid Blade Strike in a Simulated Pumped Hydroelectric Scheme",barotrauma; collision; shear,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Indirect,24,Mined,
2020_Martinez,2020,Martinez,In situ characterization of the biological performance of a Francis turbine retrofitted with a modular guide vane,shear,Field - Francis turbine,Whole-route (not localised),Immediate; Indirect,,Mined,
2020_Mueller,2020,Mueller,Assessing turbine passage effects on internal fish injury and delayed mortality using X-ray imaging,barotrauma; collision,Field - pump / pumping station,Pump impeller / casing,Immediate; Delayed; Sublethal,96,Mined,
2020_Pauwels,2020,Pauwels,"Multi-Species Assessment of Injury, Mortality, and Physical Conditions during Downstream Passage through a Large",barotrauma; collision,Field - Kaplan turbine,Archimedean screw flight,Immediate; Delayed; Sublethal,48,Mined,
2020_Pflugrath,2020,Pflugrath,The Susceptibility of Juvenile American Shad to rapid decompression and fluid shear exposure,barotrauma; shear,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal; Indirect,48,Mined,
2020_Pflugrathb,2020,Pflugrath,Using transparent fish to observe barotrauma associated with downstream passage through hydropower turbines,barotrauma,Lab - barotrauma chamber,Remained in barochamber,Immediate; Delayed; Sublethal,,Mined,
2020_Pflugrathc,2020,Pflugrath,Biological Response Models,barotrauma; collision; shear,Numerical / CFD model,Turbine runner,Immediate; Delayed; Sublethal; Indirect,,Mined,
2020_Reckendorfer,2020,Reckendorfer,Druckverhältnisse in großen Kaplan-Turbinen,barotrauma,Field - Kaplan turbine,Whole-route (not localised),Immediate; Sublethal,,Mined,
