citation_key,year,first_author,title,study_type,doi,local_filename
2022_Musa,2022,Musa,Needs and Opportunities for Testing of Hydropower Technology Innovations,Review,,2022_Musa_Review_Needs and Opportunities for Testing of Hydropower Technology Innovations.pdf
2023_Cox,2023,Cox,Fish Injury from Movements across Hydraulic Structures,Review,10.3390/w15101888,2023_Cox_Review_Fish Injury from Movements across Hydraulic Structures.pdf
2023_Koukouvinis,2023,Koukouvinis,State of the Art in Designing Fish-Friendly Turbines - Concepts and Performance Indicators,Review,10.3390/en16062661,2023_Koukouvinis_Review_State of the Art in Designing Fish-Friendly Turbines - Concepts and Performance Indicators.pdf
2025_Martinez,2025,Martinez,A scientific framework for sustainable hydropower with improved fish passage,Review,10.1016/j.rser.2025.115355,2025_Martinez_Review_A scientific framework for sustainable hydropower with improved fish passage.pdf
2025_Report,2025,Report,Fish mortality at hydropower plants - identifying problems and co-creating solutions,Review,,2025_Report_Review_Fish mortality at hydropower plants - identifying problems and co-creating solutions.pdf
1928_Evans,1928,Evans,Observations on the Physiology of the Swim Bladder in Cyprinoid Fishes,Lab,,1928_Evans_Lab_Observations on the Physiology of the Swim Bladder in Cyprinoid Fishes.pdf
1973_Christian,1973,Christian,The effects of underwater explosions on swimbladder fish,Lab,,1973_Christian_Lab_The effects of underwater explosions on swimbladder fish.pdf
1983_Feathers,1983,Feathers,Effects of Depressurization Upon Largemouth Bass,Lab,10.1577/1548-8659(1983)3,1983_Feathers_Lab_Effects of Depressurization Upon Largemouth Bass.pdf
1995_Watson,1995,Watson,Allowable gas supersaturation for fish passing hydroelectric dams,Lab,,1995_Watson_Lab_Allowable gas supersaturation for fish passing hydroelectric dams.pdf
2000_Abernethy,2000,Abernethy,Laboratory Studies of the Effects of pressure and dissolved gases on fish,Lab,,2000_Abernethy_Lab_Laboratory Studies of the Effects of pressure and dissolved gases on fish.pdf
2000_DOE,2000,DOE,Shear on fish,Lab,,2000_DOE_Lab_Shear on fish.pdf
2000_Neitzel,2000,Neitzel,Laboratory Studies on the Effects of Shear on Fish,Lab,,2000_Neitzel_Lab_Laboratory Studies on the Effects of Shear on Fish.pdf
2002_Abernathy,2002,Abernathy,Simulated passage through a modified Kaplan turbine pressure regime,Lab,,2002_Abernathy_Lab_Simulated passage through a modified Kaplan turbine pressure regime.pdf
2002_Odeh,2002,Odeh,Evaluation of the effects of turbulence on the behavior of migratory fish,Lab,,2002_Odeh_Lab_Evaluation of the effects of turbulence on the behavior of migratory fish.pdf
2003_Abernethy,2003,Abernethy,Fish Passage Through a Simulated Bulb Turbine Pressure Regime,Lab,,2003_Abernethy_Lab_Fish Passage Through a Simulated Bulb Turbine Pressure Regime.pdf
2003_Becker,2003,Becker,Idendifying the effects on fish of changes in water pressure during turbine passage,Lab,,2003_Becker_Lab_Idendifying the effects on fish of changes in water pressure during turbine passage.pdf
2003_Carlson,2003,Carlson,Evolution of the sensor fish,Lab,,2003_Carlson_Lab_Evolution of the sensor fish.pdf
2003_Cook,2003,Cook,Final report - pilot scale tests Alden concepts NREC turbine,Lab,,2003_Cook_Lab_Final report - pilot scale tests Alden concepts NREC turbine.pdf
2003_Morris,2003,Morris,Lateral line pore diameters correlate with the development of gas bubble trauma signs in several Columbia River fishes,Lab,,2003_Morris_Lab_Lateral line pore diameters correlate with the development of gas bubble trauma signs in several Columbia River fishes.pdf
2004_Neitzel,2004,Neitzel,Survival estimates for juvenile fish subjected to a laboratory-generated shear environment,Lab,,2004_Neitzel_Lab_Survival estimates for juvenile fish subjected to a laboratory-generated shear environment.pdf
2004_Ryon,2004,Ryon,Further tests of changes in fish escape behavior resulting from sublethal stresses associated with hydroelectric turbine,Lab,,2004_Ryon_Lab_Further tests of changes in fish escape behavior resulting from sublethal stresses associated with hydroelectric turbine.pdf
2005_Deng,2005,Deng,Evaluation of fish-injury mechanisms during exposure to turbulent shear flow,Lab,10.1139/F05-091,2005_Deng_Lab_Evaluation of fish-injury mechanisms during exposure to turbulent shear flow.pdf
2005_Weiland,2005,Weiland,Characterization of Bead Trajectories Through the Draft Tube of a Turbine Physical Model,Lab,,2005_Weiland_Lab_Characterization of Bead Trajectories Through the Draft Tube of a Turbine Physical Model.pdf
2006_Escaler,2006,Escaler,Detection of cavitation in hydraulic turbines,Lab,10.1016/j.ymssp.2004.08.006,2006_Escaler_Lab_Detection of cavitation in hydraulic turbines.pdf
2007_Brown,2007,Brown,Assessment of Barotrauma Resulting from Rapid Decompression of Depth Acclimated Juvenile Chinook Salmon Bearing Radio,Lab,,2007_Brown_Lab_Assessment of Barotrauma Resulting from Rapid Decompression of Depth Acclimated Juvenile Chinook Salmon Bearing Radio.pdf
2007_Deng,2007,Deng,Six-Degree-of-Freedom Sensor Fish Design and Instrumentation,Lab,,2007_Deng_Lab_Six-Degree-of-Freedom Sensor Fish Design and Instrumentation.pdf
2007_McKinstry,2007,McKinstry,Derivation of a Mortal Injury Metric for Studies of Rapid Decompression of Depth-Acclimated Physostomous Fish,Lab,,2007_McKinstry_Lab_Derivation of a Mortal Injury Metric for Studies of Rapid Decompression of Depth-Acclimated Physostomous Fish.pdf
2009_Brown,2009,Brown,Assessment of barotrauma from rapid decompression of depth-acclimated juvenile chinook salmon bearing radtiotelemetry,Lab,10.1577/T08-122.1,2009_Brown_Lab_Assessment of barotrauma from rapid decompression of depth-acclimated juvenile chinook salmon bearing radtiotelemetry.pdf
2009_Dobriloff,2009,Dobriloff,Surface Pressure and Wall Shear Stress Measurements on a Wall Mounted Cylinder,Lab,10.1007/978-3-642-01106-1_20,2009_Dobriloff_Lab_Surface Pressure and Wall Shear Stress Measurements on a Wall Mounted Cylinder.pdf
2009_Richmond,2009,Richmond,Response relationships between juvenile salmon and an autonomous sensor in turbulent flow,Lab,10.1016/j,2009_Richmond_Lab_Response relationships between juvenile salmon and an autonomous sensor in turbulent flow.pdf
200x_Dixon,200x,Dixon,EPRI-Designing-leading-edges-of-turbine-blades-to-increase-fish-survival-from-blade-strike,Lab,,200x_Dixon_Lab_EPRI-Designing-leading-edges-of-turbine-blades-to-increase-fish-survival-from-blade-strike.pdf
2010_Deng,2010,Deng,Injury and mortality of juvenile salmon entrained in a submerged jet entering still water,Lab,10.1577/M09-153.1,2010_Deng_Lab_Injury and mortality of juvenile salmon entrained in a submerged jet entering still water.pdf
2010_Stephenson,2010,Stephenson,Assessing barotrauma in neutrally and negatively buoyant juvenile salmonids exposed to simulated hydro-turbine,Lab,10.1016/j,2010_Stephenson_Lab_Assessing barotrauma in neutrally and negatively buoyant juvenile salmonids exposed to simulated hydro-turbine.pdf
2011_Amaralb,2011,Amaral,Designing leading edges of turbine blades to increase fish survival from blade strike,Lab,,2011_Amaral_Lab_Designing leading edges of turbine blades to increase fish survival from blade strike.pdf
2011_Boyd,2011,Boyd,Efficacy of Single‐Suture Incision Closures in Tagged Juvenile Chinook Salmon Exposed to Simulated Turbine Passage,Lab,10.1080/00028487.2011.616827,2011_Boyd_Lab_Efficacy of Single‐Suture Incision Closures in Tagged Juvenile Chinook Salmon Exposed to Simulated Turbine Passage.pdf
2012_Brown,2012,Brown,Pathways of barotrauma in juvenile salmonids exposed to simulated hydroturbine passage Boyle's law vs. Henry's law,Lab,10.1016/j,2012_Brown_Lab_Pathways of barotrauma in juvenile salmonids exposed to simulated hydroturbine passage Boyle's law vs. Henry's law.pdf
2012_Brownb,2012,Brown,Quantifying Mortal Injury of Juvenile Chinook Salmon Exposed to Simulated Hydro-Turbine Passage,Lab,10.1080/00028487.2011.650274,2012_Brown_Lab_Quantifying Mortal Injury of Juvenile Chinook Salmon Exposed to Simulated Hydro-Turbine Passage.pdf
2012_Carlsonb,2012,Carlson,The Influence of Tag Presence on the Mortality of Juvenile Chinook Salmon Exposed to Simulated Hydroturbine Passage,Lab,10.1080/02755947.2012.661384,2012_Carlson_Lab_The Influence of Tag Presence on the Mortality of Juvenile Chinook Salmon Exposed to Simulated Hydroturbine Passage.pdf
2012_Colotelo,2012,Colotelo,The effect of rapid and sustained decompression on barotrauma in juvenile brook lamprey and Pacific lamprey,Lab,10.1016/j,2012_Colotelo_Lab_The effect of rapid and sustained decompression on barotrauma in juvenile brook lamprey and Pacific lamprey.pdf
