citation_key,year,first_author,title,study_type,doi,local_filename
2017_Verhelst,2017,Verhelst,Movement behaviour of large female yellow European eel (Anguilla anguilla L.) in a freshwater polder area,Field,10.1111/eff.12362,2017_Verhelst_Field_Movement behaviour of large female yellow European eel (Anguilla anguilla L.) in a freshwater polder area.pdf
2018_Amaral,2018,Amaral,Survival of fish passing downstream at a small hydropower facility,Field,10.1071/MF18123,2018_Amaral_Field_Survival of fish passing downstream at a small hydropower facility.pdf
2018_Bierschank,2018,Bierschank,Fish injury and mortality at pumping stations a comparison of conventional and fish-friendly pumps,Field,10.1071/MF18116,2018_Bierschank_Field_Fish injury and mortality at pumping stations a comparison of conventional and fish-friendly pumps.pdf
2018_Boys,2018,Boys,Physical and hydraulic forces experienced by fish passing through three different low-head hydropower turbines,Field,10.1071/MF18100,2018_Boys_Field_Physical and hydraulic forces experienced by fish passing through three different low-head hydropower turbines.pdf
2018_Brackley,2018,Brackley,Comparison of damage to live v. euthanized Atlantic salmon Salmo salar smolts from passage through an Archimedean,Field,10.1111/jfb.13596,2018_Brackley_Field_Comparison of damage to live v. euthanized Atlantic salmon Salmo salar smolts from passage through an Archimedean.pdf
2018_Duncan,2018,Duncan,Physical and ecological evaluation of a fish-friendly surface spillway,Field,10.1016/j.ecoleng.2017.10.012,2018_Duncan_Field_Physical and ecological evaluation of a fish-friendly surface spillway.pdf
2018_Normandeau,2018,Normandeau,"Biological Fish Injury and Survival Evaluation at the Regulating Outlet of Cougar Dam, Oregon",Field,,"2018_Normandeau_Field_Biological Fish Injury and Survival Evaluation at the Regulating Outlet of Cougar Dam, Oregon.pdf"
2018_Pander,2018,Pander,Catch‐related fish injury and catch efficiency of stow‐net‐based fish recovery installations for fish‐monitoring at,Field,10.1111/fme.12263,2018_Pander_Field_Catch‐related fish injury and catch efficiency of stow‐net‐based fish recovery installations for fish‐monitoring at.pdf
2019_Bolland,2019,Bolland,Direct and indirect impacts of pumping station operation on downstream migration of critically endangered European,Field,10.1111/fme.12312,2019_Bolland_Field_Direct and indirect impacts of pumping station operation on downstream migration of critically endangered European.pdf
2019_David,2019,David,Use of a novel acoustic ‘listening’ method for detecting pump impellor strike on downstream migrating eels,Field,10.1071/MF19205,2019_David_Field_Use of a novel acoustic ‘listening’ method for detecting pump impellor strike on downstream migrating eels.pdf
2019_Knott,2019,Knott,Fish Passage and Injury Risk at a Surface Bypass of aSmall-Scale Hydropower Plant,Field,10.3390/su11216037,2019_Knott_Field_Fish Passage and Injury Risk at a Surface Bypass of aSmall-Scale Hydropower Plant.pdf
2019_Martinez,2019,Martinez,Characterization of a siphon turbine to accelerate low-head hydropower deployment,Field,,2019_Martinez_Field_Characterization of a siphon turbine to accelerate low-head hydropower deployment.pdf
2019_Martinezb,2019,Martinez,Hydraulic and biological characterization of a large Kaplan turbine,Field,,2019_Martinez_Field_Hydraulic and biological characterization of a large Kaplan turbine.pdf
2019_Martinezc,2019,Martinez,In situ characterization of turbine hydraulic environment to support development of fish-friendly hydropower,Field,10.1016/j.ecoleng.2019.04.028,2019_Martinez_Field_In situ characterization of turbine hydraulic environment to support development of fish-friendly hydropower.pdf
2019_Pflugrathb,2019,Pflugrath,Over or under Autonomous sensor fish reveals why overshot weirs may be safer than undershot weirs for fish passage,Field,10.1016/j.ecoleng.2019.03.010,2019_Pflugrath_Field_Over or under Autonomous sensor fish reveals why overshot weirs may be safer than undershot weirs for fish passage.pdf
2019_Salalila,2019,Salalila,Evaluation of a fish-friendly self-cleaning horizontal,Field,10.1071/MF19194,2019_Salalila_Field_Evaluation of a fish-friendly self-cleaning horizontal.pdf
2019_Tuononen,2019,Tuononen,Fish Community Interactions with Very Low Head (VLH) Turbine Technology,Field,,2019_Tuononen_Field_Fish Community Interactions with Very Low Head (VLH) Turbine Technology.pdf
2020_BenAmmar,2020,BenAmmar,Impact of downstream passage through hydropower plants on the physiological and health status of a critically,Field,10.1016/j.cbpa.2020.110876,2020_BenAmmar_Field_Impact of downstream passage through hydropower plants on the physiological and health status of a critically.pdf
2020_Harrison,2020,Harrison,"A comparison of turbine entrainment rates and seasonal entrainment vulnerability of two sympatric char species,",Field,10.1002/rra.3617,"2020_Harrison_Field_A comparison of turbine entrainment rates and seasonal entrainment vulnerability of two sympatric char species,.pdf"
2020_Martinez,2020,Martinez,In situ characterization of the biological performance of a Francis turbine retrofitted with a modular guide vane,Field,10.1016/j.apenergy.2020.115492,2020_Martinez_Field_In situ characterization of the biological performance of a Francis turbine retrofitted with a modular guide vane.pdf
2020_Mueller,2020,Mueller,Assessing turbine passage effects on internal fish injury and delayed mortality using X-ray imaging,Field,10.7717/peerj.9977,2020_Mueller_Field_Assessing turbine passage effects on internal fish injury and delayed mortality using X-ray imaging.pdf
2020_Pauwels,2020,Pauwels,"Multi-Species Assessment of Injury, Mortality, and Physical Conditions during Downstream Passage through a Large",Field,10.3390/su12208722,"2020_Pauwels_Field_Multi-Species Assessment of Injury, Mortality, and Physical Conditions during Downstream Passage through a Large.pdf"
2020_Reckendorfer,2020,Reckendorfer,Druckverhältnisse in großen Kaplan-Turbinen,Field,,2020_Reckendorfer_Field_Druckverhältnisse in großen Kaplan-Turbinen.pdf
2020_Tuononen,2020,Tuononen,Extent of injury and mortality arising from entrainment of fish through a Very Low Head hydropower turbine in,Field,10.1007/s10750-020-04376-x,2020_Tuononen_Field_Extent of injury and mortality arising from entrainment of fish through a Very Low Head hydropower turbine in.pdf
2020_vanKeekan,2020,vanKeekan,Behavioural responses of eel (Anguilla anguilla) approaching a large pumping station with trash rack using an,Field,10.1111/fme.12427,2020_vanKeekan_Field_Behavioural responses of eel (Anguilla anguilla) approaching a large pumping station with trash rack using an.pdf
2020_vanKeeken,2020,vanKeeken,Migration of silver eel through three water pumping stations in The Netherlands,Field,10.1111/fme.12457,2020_vanKeeken_Field_Migration of silver eel through three water pumping stations in The Netherlands.pdf
2021_Ovidio,2021,Ovidio,Improving bypass performance and passage success of Atlantic salmon smolts at an old fish-hostile hydroelectric power,Field,10.1016/j.ecoleng.2021.106148,2021_Ovidio_Field_Improving bypass performance and passage success of Atlantic salmon smolts at an old fish-hostile hydroelectric power.pdf
2022_Bercovitz,2022,Bercovitz,Evaluation of fish injuries at the outlet of downstream passage devices - preliminary and lab experiments with,Field,10.3850/IAHR-39WC2521716X202255,2022_Bercovitz_Field_Evaluation of fish injuries at the outlet of downstream passage devices - preliminary and lab experiments with.pdf
2022_Mueller,2022,Mueller,Experimental comparison of fish mortality and injuries at innovative and conventional small hydropower plants,Field,10.1111/1365-2664.14236,2022_Mueller_Field_Experimental comparison of fish mortality and injuries at innovative and conventional small hydropower plants.pdf
2022_Watson,2022,Watson,Juvenile Alewife Passage through a Compact Hydropower Turbine,Field,10.1002/nafm.10866,2022_Watson_Field_Juvenile Alewife Passage through a Compact Hydropower Turbine.pdf
2022_Watsonb,2022,Watson,Safe passage of American Eels through a novel hydropower turbine,Field,10.1002/tafs.10385,2022_Watson_Field_Safe passage of American Eels through a novel hydropower turbine.pdf
2023_Harnish,2023,Harnish,Factors affecting powerhouse passage of spring migrant smolts at federally operated hydroelectric dams of the Snake,Field,,2023_Harnish_Field_Factors affecting powerhouse passage of spring migrant smolts at federally operated hydroelectric dams of the Snake.pdf
2023_Knott,2023,Knott,Ecological assessment of the world's first shaft hydropower plant,Field,10.1016/j.rser.2023.113727,2023_Knott_Field_Ecological assessment of the world's first shaft hydropower plant.pdf
2023_Pedron,2023,Pedron,Fish injuries resulting from transient operating conditions in a Brazilian hydropower plant,Field,10.1590/1982-0224-2022-0104,2023_Pedron_Field_Fish injuries resulting from transient operating conditions in a Brazilian hydropower plant.pdf
2024_Romero-Gomez,2024,Romero-Gomez,Sensor Fish Deployments at the Xayaburi Hydropower Plant Measurements and Simulations,Field,,2024_Romero-Gomez_Field_Sensor Fish Deployments at the Xayaburi Hydropower Plant Measurements and Simulations.pdf
2025_Rodger,2025,Rodger,Downstream Migration Success of Atlantic Salmon Smolts in a River Catchment Highly Fragmented by Hydroelectric,Field,10.1111/eff.12821,2025_Rodger_Field_Downstream Migration Success of Atlantic Salmon Smolts in a River Catchment Highly Fragmented by Hydroelectric.pdf
2025_Salalila,2025,Salalila,Autonomous sensor suite for evaluating fish-turbine interactions and environmental impacts in marine renewable,Field,10.1016/j.scitotenv.2025.178710,2025_Salalila_Field_Autonomous sensor suite for evaluating fish-turbine interactions and environmental impacts in marine renewable.pdf
2025_Zillig,2025,Zillig,Comparison of juvenile white sturgeon blade strike survival through a conventional and a novel hydropower turbine,Field,10.1080/24705357.2026.2636289,2025_Zillig_Field_Comparison of juvenile white sturgeon blade strike survival through a conventional and a novel hydropower turbine.pdf
2002_Scheibe,2002,Scheibe,Fish individual-based numerical simulator (FINS) a particle-based model of juvenile salmonid movement and,Numerical,,2002_Scheibe_Numerical_Fish individual-based numerical simulator (FINS) a particle-based model of juvenile salmonid movement and.pdf
2004_Ploskey,2004,Ploskey,Comparison of blade-strike modeling results with empirical data,Numerical,,2004_Ploskey_Numerical_Comparison of blade-strike modeling results with empirical data.pdf
2005_Dengb,2005,Deng,Evaluation of blade strike models for estimating the biological peformance of large kaplan hydro turbines,Numerical,,2005_Deng_Numerical_Evaluation of blade strike models for estimating the biological peformance of large kaplan hydro turbines.pdf
2006_Dresser,2006,Dresser,Wanapum Dam Advanced Hydro Turbine Upgrade Project Part 2 - Evaluation of Fish Passage Test Results Using,Numerical,,2006_Dresser_Numerical_Wanapum Dam Advanced Hydro Turbine Upgrade Project Part 2 - Evaluation of Fish Passage Test Results Using.pdf
2007_Dengb,2007,Deng,Evaluation of blade-strike models for estimating the biological performance of Kaplan turbines,Numerical,10.1016/j.ecolmodel.2007.05.019,2007_Deng_Numerical_Evaluation of blade-strike models for estimating the biological performance of Kaplan turbines.pdf
2008_Ferguson,2008,Ferguson,Combining turbine blade-strike and life cycle models to assess mitigation strategies for fish passing dams,Numerical,10.1139/F08-078,2008_Ferguson_Numerical_Combining turbine blade-strike and life cycle models to assess mitigation strategies for fish passing dams.pdf
2011_Yang,2011,Yang,An optimization method on runner blades in bulb turbine based on CFD analysis,Numerical,10.1007/s11431-010-4261-4,2011_Yang_Numerical_An optimization method on runner blades in bulb turbine based on CFD analysis.pdf
2012_Guenette,2012,Guenette,Numerical prediction of a bulb turbine performance hill chart through RANS simulations,Numerical,10.1088/1755-1315/15/3/032007,2012_Guenette_Numerical_Numerical prediction of a bulb turbine performance hill chart through RANS simulations.pdf
2012_Normandeaub,2012,Normandeau,American shad passage study,Numerical,,2012_Normandeau_Numerical_American shad passage study.pdf
2012_Romero-Gomez,2012,Romero-Gomez,Quantifying the Effect of Kaplan-Type Runner Blade Gaps on Fish-related Flow Conditions,Numerical,10.1088/1755-1315/774/1/012148,2012_Romero-Gomez_Numerical_Quantifying the Effect of Kaplan-Type Runner Blade Gaps on Fish-related Flow Conditions.pdf
2012_Wu,2012,Wu,Numerical prediction and similarity study of pressure fluctuation in a prototype Kaplan turbine and the model turbine,Numerical,10.1016/j.comp,2012_Wu_Numerical_Numerical prediction and similarity study of pressure fluctuation in a prototype Kaplan turbine and the model turbine.pdf
2012_vanEsch,2012,vanEsch,Fish injury and mortality during passage through pumping stations,Numerical,10.1115/1.4006808,2012_vanEsch_Numerical_Fish injury and mortality during passage through pumping stations.pdf
2013_Richmond,2013,Richmond,Simulating Collisions for Hydrokinetic Turbines,Numerical,,2013_Richmond_Numerical_Simulating Collisions for Hydrokinetic Turbines.pdf
2014_Richmond,2014,Richmond,Computational tools to assess turbine biological performance,Numerical,,2014_Richmond_Numerical_Computational tools to assess turbine biological performance.pdf
2014_Richmondb,2014,Richmond,Fish passage through hydropower turbines Simulating blade strike using the discrete element method,Numerical,10.1088/1755-1315/22/6/062010,2014_Richmond_Numerical_Fish passage through hydropower turbines Simulating blade strike using the discrete element method.pdf
2014_Richmondc,2014,Richmond,Quantifying barotrauma risk to juvenile fish during hydro-turbine passage,Numerical,10.1016/j.fishres.2014.01.007,2014_Richmond_Numerical_Quantifying barotrauma risk to juvenile fish during hydro-turbine passage.pdf
2014_Romero-Gomez,2014,Romero-Gomez,Simulating blade-strike on fish passing through marine hydrokinetic turbines,Numerical,10.1016/j.renene.2014.05.051,2014_Romero-Gomez_Numerical_Simulating blade-strike on fish passing through marine hydrokinetic turbines.pdf
2014_vanEsch,2014,vanEsch,Validation of a model to predict fish passage mortality in pumping stations,Numerical,10.1139/cjfas-2014-0035,2014_vanEsch_Numerical_Validation of a model to predict fish passage mortality in pumping stations.pdf
2015_Richmond,2015,Richmond,Comparative Study of Barotrauma Risk during Fish Passage through Kaplan Turbines,Numerical,,2015_Richmond_Numerical_Comparative Study of Barotrauma Risk during Fish Passage through Kaplan Turbines.pdf
2015_Xiao,2015,Xiao,Movement characteristics offish in a jetfish pump,Numerical,10.1016/j.oceaneng.2015.08.039,2015_Xiao_Numerical_Movement characteristics offish in a jetfish pump.pdf
2016_Long,2016,Long,Impact of the internal flow in a jet fish pump on the fish,Numerical,10.1016/j.oceaneng.2016.09.027,2016_Long_Numerical_Impact of the internal flow in a jet fish pump on the fish.pdf
2018_Hou,2018,Hou,A Hydropower Biological Evaluation Toolset (HBET) for Characterizing Hydraulic Conditions and Impacts of,Numerical,10.3390/en11040990,2018_Hou_Numerical_A Hydropower Biological Evaluation Toolset (HBET) for Characterizing Hydraulic Conditions and Impacts of.pdf
2019_Benigni,2019,Benigni,Downstream Fish migration in a Kaplan turbine - Numerical Simulation and Experimental Verification,Numerical,,2019_Benigni_Numerical_Downstream Fish migration in a Kaplan turbine - Numerical Simulation and Experimental Verification.pdf
2019_Klopries,2019,Klopries,Mortality assessment for adult European eels (Anguilla Anguilla) during turbine passage using CFD modelling,Numerical,10.1016/j.renene.2019.09.112,2019_Klopries_Numerical_Mortality assessment for adult European eels (Anguilla Anguilla) during turbine passage using CFD modelling.pdf
2019_Müller,2019,Müller,Numerical analysis of the compromise between power output and fish-friendliness in a vortex power plant,Numerical,10.1080/24705357.2018.1521709,2019_Müller_Numerical_Numerical analysis of the compromise between power output and fish-friendliness in a vortex power plant.pdf
2019_Romero-Gomez,2019,Romero-Gomez,Particle-based evaluations of fish-friendliness in Kaplan turbine,Numerical,10.1088/1755-1315/240/4/042016,2019_Romero-Gomez_Numerical_Particle-based evaluations of fish-friendliness in Kaplan turbine.pdf
2019_Serkowski,2019,Serkowski,Nadir Pressure Exposure Estimates at the McNeary Dam,Numerical,,2019_Serkowski_Numerical_Nadir Pressure Exposure Estimates at the McNeary Dam.pdf
2019_Xu,2019,Xu,Impact of fish locomotion on the internal flow in a jet fish pump,Numerical,10.1016/j.oceaneng.2019.106227,2019_Xu_Numerical_Impact of fish locomotion on the internal flow in a jet fish pump.pdf
2020_Benigni,2020,Benigni,Downstream II,Numerical,,2020_Benigni_Numerical_Downstream II.pdf
2020_Pflugrathc,2020,Pflugrath,Biological Response Models,Numerical,,2020_Pflugrath_Numerical_Biological Response Models.pdf
2020_Xu,2020,Xu,Impact of pressure gradients on fish scales in a jet fish pump,Numerical,10.1016/j.biosystemseng.2019.12.014,2020_Xu_Numerical_Impact of pressure gradients on fish scales in a jet fish pump.pdf
2022_Huang,2022,Huang,FSI simulation of dynamics of fish passing through a tubular turbine,Numerical,10.1007/s42241-022-0014-7,2022_Huang_Numerical_FSI simulation of dynamics of fish passing through a tubular turbine.pdf
2022_Pan,2022,Pan,"Analysis, Design, and Validation of a Vaned Diffuser for Improved Fish Friendliness",Numerical,10.1115/1.4052735,"2022_Pan_Numerical_Analysis, Design, and Validation of a Vaned Diffuser for Improved Fish Friendliness.pdf"
2022_Panb,2022,Pan,Fish damage assessment during the passage through traditional and fish-friendly axial-flow pumps with Lagrangian,Numerical,10.1016/j.oceaneng.2022.111188,2022_Pan_Numerical_Fish damage assessment during the passage through traditional and fish-friendly axial-flow pumps with Lagrangian.pdf
2022_Romero-Gomez,2022,Romero-Gomez,Evaluation of fish-related properties of Kaplan turbines at the design phase simulation-based outcomes vs.,Numerical,10.1088/1755-1315/1079/1/012016,2022_Romero-Gomez_Numerical_Evaluation of fish-related properties of Kaplan turbines at the design phase simulation-based outcomes vs..pdf
2022_Romero-Gomezb,2022,Romero-Gomez,Numerical investigation of inertial sphere impaction on a cylinder in subcritical flow-2,Numerical,10.1080/02726351.2021.1904308,2022_Romero-Gomez_Numerical_Numerical investigation of inertial sphere impaction on a cylinder in subcritical flow-2.pdf
2022_Romero-Gomezc,2022,Romero-Gomez,The bio-hill chart of a Kaplan turbine,Numerical,10.1080/24705357.2020.1830723,2022_Romero-Gomez_Numerical_The bio-hill chart of a Kaplan turbine.pdf
2022_Yang,2022,Yang,Effects of operating condition on fish behavior and fish injury in an axial pump,Numerical,10.1007/s11431-021-1905-6,2022_Yang_Numerical_Effects of operating condition on fish behavior and fish injury in an axial pump.pdf
2022_Zhu,2022,Zhu,Analysis and reduction of the pressure and shear damage probability of fish in a Francis turbine,Numerical,10.1016/j.renene.2022.08.158,2022_Zhu_Numerical_Analysis and reduction of the pressure and shear damage probability of fish in a Francis turbine.pdf
2023_David,2023,David,Numerical simulation of a waterfall in a downstream basin,Numerical,,2023_David_Numerical_Numerical simulation of a waterfall in a downstream basin.pdf
2023_Tomanova,2023,Tomanova,Updated mortality estimation formulae for salmonids passing Francis turbines,Numerical,10.1051/kmae/2023001,2023_Tomanova_Numerical_Updated mortality estimation formulae for salmonids passing Francis turbines.pdf
2023_Yang,2023,Yang,Fish damage due to tubular turbine Experiments and CFD simulations,Numerical,10.1016/j.oceaneng.2023.113881,2023_Yang_Numerical_Fish damage due to tubular turbine Experiments and CFD simulations.pdf
2024_Hamel,2024,Hamel,PhD Estimating Fish Mortality in a Hydroelectric Turbine using Computational,Numerical,,2024_Hamel_Numerical_PhD Estimating Fish Mortality in a Hydroelectric Turbine using Computational.pdf
2024_Kaminski,2024,Kaminski,Computational fluid dynamics simulation of passive downstream fish passage over a weir with OpenFOAM,Numerical,10.1080/24705357.2024.2363770,2024_Kaminski_Numerical_Computational fluid dynamics simulation of passive downstream fish passage over a weir with OpenFOAM.pdf
2024_Romero-Gomezb,2024,Romero-Gomez,Feasibility study for test rig assessments of fish,Numerical,10.1016/j.heliyon.2024.e26846,2024_Romero-Gomez_Numerical_Feasibility study for test rig assessments of fish.pdf
2025_Huang,2025,Huang,Velocity- and pressure-based metrics for estimating strike injuries during fish passage through hydro turbines,Numerical,10.1016/j.rineng.2025.104535,2025_Huang_Numerical_Velocity- and pressure-based metrics for estimating strike injuries during fish passage through hydro turbines.pdf
2025_Kan,2025,Kan,Fish-friendly optimization of low-head axial-flow turbines,Numerical,10.1016/j.oceaneng.2024.120070,2025_Kan_Numerical_Fish-friendly optimization of low-head axial-flow turbines.pdf
2026_Pan,2026,Pan,A novel fish-friendly-twisted blade towards low-head pumped hydro storage assessment of flow distortion-induced,Numerical,10.1016/j.energy.2026.140602,2026_Pan_Numerical_A novel fish-friendly-twisted blade towards low-head pumped hydro storage assessment of flow distortion-induced.pdf
200X_Kemper,200X,Kemper,VisAdvies protocol for testing and evaluating pumping station pumps on fish survivability,Guidelines,,200X_Kemper_Guidelines_VisAdvies protocol for testing and evaluating pumping station pumps on fish survivability.pdf
2014_Boys,2014,Boys,Downstream fish passage criteria for hydropower and irrigation infrastructure in the Murray–Darling Basin,Guidelines,,2014_Boys_Guidelines_Downstream fish passage criteria for hydropower and irrigation infrastructure in the Murray–Darling Basin.pdf
2015_FFS,2015,FFS,Arbeitshilfe zur standörtlichen Evaluierung,Guidelines,,2015_FFS_Guidelines_Arbeitshilfe zur standörtlichen Evaluierung.pdf
2016_LUBW,2016,LUBW,Handreichung Fischschutz und Fischabstieg an Wasserkraftanlagen,Guidelines,,2016_LUBW_Guidelines_Handreichung Fischschutz und Fischabstieg an Wasserkraftanlagen.pdf
2018_NEN,2018,NEN,Draft NEN 8775 fish safety of pumps screws and pressure turbines (Dutch),Guidelines,,2018_NEN_Guidelines_Draft NEN 8775 fish safety of pumps screws and pressure turbines (Dutch).pdf
2019_Alves,2019,Alves,Protocol for the assessment of mortality and injuries in fish larvae associated with their downstream passage,Guidelines,10.1007/s11160-019-09564-0,2019_Alves_Guidelines_Protocol for the assessment of mortality and injuries in fish larvae associated with their downstream passage.pdf
2019_BNT,2019,BNT,Fischschutz und Fischabstieg in Österreich - Endberict,Guidelines,,2019_BNT_Guidelines_Fischschutz und Fischabstieg in Österreich - Endberict.pdf
2019_Wagner,2019,Wagner,Evaluierung von Fischschutz und Fischabstiegsmaßnahmen,Guidelines,,2019_Wagner_Guidelines_Evaluierung von Fischschutz und Fischabstiegsmaßnahmen.pdf
2020_NEN,2020,NEN,NEN 8775 fish safety standard (EN),Guidelines,,2020_NEN_Guidelines_NEN 8775 fish safety standard (EN).pdf
2020_Wolter,2020,Wolter,Fachplanerische Bewertung der Mortalitaet von Fischen an Wasserkraftanlagen (BfN-Skripten 561),Guidelines,,2020_Wolter_Guidelines_Fachplanerische Bewertung der Mortalitaet von Fischen an Wasserkraftanlagen (BfN-Skripten 561).pdf
2022_NLWKN,2022,NLWKN,Leitfaden zur Verwendung fischschonender Pumpen,Guidelines,,2022_NLWKN_Guidelines_Leitfaden zur Verwendung fischschonender Pumpen.pdf
2023_EU,2023,EU,Implementation of Council Regulation on European eel recovery - amendments,Guidelines,,2023_EU_Guidelines_Implementation of Council Regulation on European eel recovery - amendments.pdf
2024_Canada,2024,Canada,Risk to fish from very low head turbine installations,Guidelines,,2024_Canada_Guidelines_Risk to fish from very low head turbine installations.pdf
2008_Deng,2008,Deng,Data overview of sensor data,Misc,,2008_Deng_Misc_Data overview of sensor data.pdf
2012_Qasem,2012,Qasem,Tri-Axial Dynamic Acceleration as a Proxy for Animal Energy Expenditure Should We Be Summing Values or Calculating the,Misc,10.1371/journal.pone.0031187,2012_Qasem_Misc_Tri-Axial Dynamic Acceleration as a Proxy for Animal Energy Expenditure Should We Be Summing Values or Calculating the.pdf
2015_Xylem,2015,Xylem,Pump cavitation and how to avoid it,Misc,,2015_Xylem_Misc_Pump cavitation and how to avoid it.pdf
2016_MacMillan,2016,MacMillan,PPT,Misc,,2016_MacMillan_Misc_PPT.pdf
2016_Pflugrath,2016,Pflugrath,Sensor Fish,Misc,,2016_Pflugrath_Misc_Sensor Fish.pdf
2019_PPT,2019,PPT,Oxford Tidal Turbine Conference,Misc,,2019_PPT_Misc_Oxford Tidal Turbine Conference.pdf
2020_NENb,2020,NEN,NEN 8775 (blank printout),Misc,,2020_NEN_Misc_NEN 8775 (blank printout).pdf
2021_Singh,2021,Singh,BioPA Tutorials,Misc,,2021_Singh_Misc_BioPA Tutorials.pdf
2022_Li,2022,Li,Comparison of Spherical and Fish-shaped Robots on Hydrodynamic and Pressure Characteristics in Static Water,Misc,10.1109/ICMA54519.2022.9856391,2022_Li_Misc_Comparison of Spherical and Fish-shaped Robots on Hydrodynamic and Pressure Characteristics in Static Water.pdf
2023_Salalila,2023,Salalila,Balloon tag manufacturing technique - materials list (JoVE),Misc,10.3791/65632,2023_Salalila_Misc_Balloon tag manufacturing technique - materials list (JoVE).pdf
2023_Salalilab,2023,Salalila,Balloon tag manufacturing technique - protocol (JoVE),Misc,10.3791/65632,2023_Salalila_Misc_Balloon tag manufacturing technique - protocol (JoVE).pdf
2026_Zitekb,2026,Zitek,Supplementary,Misc,,2026_Zitek_Misc_Supplementary.pdf
20XX_Andritz,20XX,Andritz,Fish friendly turbine technology,Misc,,20XX_Andritz_Misc_Fish friendly turbine technology.pdf
20XX_Andritzb,20XX,Andritz,Fish-friendly turbine data (presentation),Misc,,20XX_Andritz_Misc_Fish-friendly turbine data (presentation).pdf
20XX_Beentjes,20XX,Beentjes,NEN 8775 Visveiligheid in de praktijk (presentation),Misc,,20XX_Beentjes_Misc_NEN 8775 Visveiligheid in de praktijk (presentation).pdf
20XX_Lu,20XX,Lu,Theoretical Investigation on Contact Duration in Elastic and Inelastic Collision of a Circular Plate to a Planar Surface,Misc,,20XX_Lu_Misc_Theoretical Investigation on Contact Duration in Elastic and Inelastic Collision of a Circular Plate to a Planar Surface.pdf
20XX_Stork,20XX,Stork,Fish-friendly pump turbine with concrete volute (BVOP VVT),Misc,,20XX_Stork_Misc_Fish-friendly pump turbine with concrete volute (BVOP VVT).pdf
