sr_citation_key,corpus_citation_key,note
Pflugrath2020c,2020_Pflugrathc,PNNL Biological Response Models synthesis report
Pflugrath2020b,2020_Pflugrath,Susceptibility of Juvenile American Shad (fluid shear) - Water 2020
Saylor2019,2019_Saylor,Bluegill & American eel simulated blade strike
Saylor2020,2020_Saylor,Within/among species blade-strike differences (surrogacy)
Colotelo2018,2018_Colotelo,Two Mekong species (blue gourami, iridescent shark) shear
Turnpenny2000,2000_Turnpenny,Risk assessment small low-head turbines (STRIKER / Von Raben)
Zitek2026,2026_Zitek,Sensitivity of larval and juvenile fish (barotrauma)
Carlson2012,2012_Carlson,"Barotrauma in Fish and Barotrauma Metrics (VERIFY: vs 2012_Carlsonb tag-presence)"
